Etapp,Ö,Total_m,Skog_grus_m,Andel_pct,OSM_relation
SAT Arholma,Arholma,10668,736,6.900119334031333,19012436
SAT Brottö,Brottö,983,0,0.0,19141225
SAT Finnhamn,Finnhamn,8094,0,0.0,19018272
SAT Fjärdlång,Fjärdlång,8735,0,0.0,19016280
SAT Furusund,Furusund,6703,4,0.05689525548178719,19016187
SAT Grinda,Grinda,8054,0,0.0,19079703
SAT Ingmarsö,Ingmarsö,8392,0,0.0,19080874
SAT Landsort,Öja,9189,1629,17.72471535713887,19013576
SAT Lidö,Lidö,7787,23,0.297234547561327,19020231
SAT Möja,Möja,9824,17,0.17030853698054566,19023630
SAT Nämdö,Nämdö,11977,229,1.9081692654091906,19013473
SAT Nåttarö,Nåttarö,8351,0,0.0,19014571
SAT Ornö,Ornö,30271,0,0.0,19023687
SAT Runmarö,Runmarö,17335,0,0.0,19013472
SAT Rånö,Rånö,10622,4784,45.03555128688302,19015969
SAT Sandhamn,Sandön,7033,0,0.0,19081125
SAT Svartsö,Svartsö,14534,0,0.0,19014515
SAT Utö,Utö,16600,0,0.0,19012654
SAT Yxlan,Yxlan,21433,0,0.0,19020310
SAT Ålö,Ålö,12231,0,0.0,19012684
Totalt,,228816,7422,3.243654289909797,
