id,label,island,wikipedia,image,length,official
19012436,SAT Arholma,Arholma,,http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20etapp%20Arholma%2005.jpg,12.7,https://stockholmarchipelagotrail.com/sv/section/etapp-arholma/
19020231,SAT Lidö,Lidö,,http://commons.wikimedia.org/wiki/Special:FilePath/Lid%C3%B6%20kvarn.JPG,11.9,https://stockholmarchipelagotrail.com/sv/section/etapp-lido/
19013576,SAT Landsort,Öja,,http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Landsort%2037.jpg,13.8,https://stockholmarchipelagotrail.com/sv/section/etapp-landsort/
19079703,SAT Grinda,Grinda,,http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Grinda%2023%20Grinda%20W%C3%A4rdshus.jpg,9.8,https://stockholmarchipelagotrail.com/sv/section/etapp-grinda/
19013473,SAT Nämdö,Nämdö,,http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20N%C3%A4md%C3%B6%20b%2003.jpg,13.1,https://stockholmarchipelagotrail.com/sv/section/etapp-namdo/
19014571,SAT Nåttarö,Nåttarö,,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%96stra%20N%C3%A5ttar%C3%B6%20juli%202009.png,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro
19015969,SAT Rånö,Rånö,,http://commons.wikimedia.org/wiki/Special:FilePath/Knicksand-grillplats-1.jpg,12,https://stockholmarchipelagotrail.com/sv/section/etapp-rano
19012654,SAT Utö,Utö,,http://commons.wikimedia.org/wiki/Special:FilePath/Ut%C3%B6%20January%202013%2007.jpg,16.7,https://stockholmarchipelagotrail.com/sv/section/etapp-uto-sv
19012684,SAT Ålö,Ålö,,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%85l%C3%B6.JPG,12.4,https://stockholmarchipelagotrail.com/sv/section/etapp-alo
19023687,SAT Ornö,Ornö,,http://commons.wikimedia.org/wiki/Special:FilePath/Orn%C3%B6%20kyrka.jpg,34.1,https://stockholmarchipelagotrail.com/sv/section/etapp-orno
19016280,SAT Fjärdlång,Fjärdlång,,http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Fj%C3%A4rdl%C3%A5ng%202025%20april%20%28131%29.jpg,11.7,https://stockholmarchipelagotrail.com/sv/section/etapp-fjardlang
19141225,SAT Brottö,Brottö,,http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Brottby%20Ferry%20stop%2001.jpg,1,https://stockholmarchipelagotrail.com/sv/section/etapp-brotto/
19013472,SAT Runmarö,Runmarö,,http://commons.wikimedia.org/wiki/Special:FilePath/Runmar%C3%B6%20-%20KMB%20-%2016001000453864.jpg,18.5,https://stockholmarchipelagotrail.com/sv/section/etapp-runmaro
19080874,SAT Ingmarsö,Ingmarsö,,http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ingmars%C3%B6%20B%C3%A5tluffarleden%20%2810%29.jpg,9.1,https://stockholmarchipelagotrail.com/sv/section/etapp-ingmarso
19020310,SAT Yxlan,Yxlan,,http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Yxlan%2037.jpg,24,https://stockholmarchipelagotrail.com/sv/section/etapp-yxlan
19018272,SAT Finnhamn,Finnhamn,,http://commons.wikimedia.org/wiki/Special:FilePath/20130202%20Stockholm%20Sk%C3%A4rg%C3%A5rd%20%2840%29.jpg,10.1,https://stockholmarchipelagotrail.com/sv/section/etapp-finnhamn
19016187,SAT Furusund,Furusund,,http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Furusund%20Monte%20Bello%20%282%29.jpg,7.2,https://stockholmarchipelagotrail.com/sv/section/etapp-furusund
19081125,SAT Sandhamn,Sandön,,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%B6dra%20Sandhamn%2C%20strand.jpg,8.1,https://stockholmarchipelagotrail.com/sv/section/etapp-sandhamn
19023630,SAT Möja,Möja,,http://commons.wikimedia.org/wiki/Special:FilePath/Hamnen%20vid%20L%C3%B6ka%20p%C3%A5%20M%C3%B6ja.jpg,10.4,https://stockholmarchipelagotrail.com/sv/section/etapp-moja
