etapp,langd_tot_m,langd_i_skydd_m,andel_i_skydd_procent
SAT Arholma,10698.5,3288.1,30.73
SAT Brottö,996.4,0.0,0.0
SAT Finnhamn,8447.7,8447.7,100.0
SAT Fjärdlång,8746.1,8746.1,100.0
SAT Furusund,6729.8,0.0,0.0
SAT Grinda,8043.9,8043.9,100.0
SAT Ingmarsö,8392.2,1419.3,16.91
SAT Landsort,9093.5,9093.5,100.0
SAT Lidö,7786.7,7786.7,100.0
SAT Möja,9824.0,0.0,0.0
SAT Nämdö,11976.5,4833.1,40.35
SAT Nåttarö,8344.9,8344.9,100.0
SAT Ornö,30276.3,784.7,2.59
SAT Runmarö,17227.3,0.0,0.0
SAT Rånö,10622.4,10622.4,100.0
SAT Sandhamn,7091.8,0.0,0.0
SAT Svartsö,14533.6,0.0,0.0
SAT Utö,16638.4,11448.0,68.8
SAT Yxlan,20576.7,0.0,0.0
SAT Ålö,12231.2,12231.2,100.0
okänt,228278.0,95089.7,41.66
